landmark,radius_px,err_median,err_q95,err_max
ost_point,127.77018299212939,0.009045320148035038,0.03304868445650313,0.06850005007553728
ost_point,169.95624819678739,0.01604247318819149,0.058595669734874956,0.12333318288485762
ost_point,226.07094726402102,0.028276762944575144,0.1035226618828411,0.22344434565109106
ost_point,300.7131172822503,0.05013568260648282,0.1833805398744333,0.4083385285544945
ost_point,400.0,0.08833358235030886,0.3236949716867636,0.7554389354582671
knee_outer,1.0,1.7707841787392015e-06,3.14281649095062e-06,3.928810744482231e-06
knee_outer,1.330171439194516,3.1334257174671365e-06,5.561073818372703e-06,6.9517027590643155e-06
knee_outer,1.7693560576488099,5.544684337072808e-06,9.840254597943965e-06,1.2300596215937543e-05
knee_outer,2.3535468936502526,9.808866215852557e-06,1.741264260607736e-05,2.1765448130053877e-05
knee_outer,3.130620858738539,1.7359392116382544e-05,3.081322896763411e-05,3.851391458312148e-05
knee_outer,4.164262453240614,3.072438966563243e-05,5.452912676476643e-05,6.815207860749739e-05
knee_outer,5.539182980610754,5.436567757043098e-05,9.650388761895876e-05,0.0001206023106817139
knee_outer,7.368062997280774,9.613860487724807e-05,0.0001708162608312913,0.0002134283333900533
knee_outer,9.800786961168827,0.00017008206414002858,0.000302295724714928,0.0003777241714598145
knee_outer,13.036726897376788,0.00030091603419954427,0.0005347636958412255,0.0006685470680216077
knee_outer,17.341081779469537,0.0005322321857534063,0.000945489802175542,0.0011834076013739203
knee_outer,23.066611707786787,0.0009418439537630385,0.001672958000703037,0.0020950552071585804
knee_outer,30.682548092687835,0.0016676921672397482,0.002961098509691812,0.003709645679311313
knee_outer,40.81304915460552,0.002947264918500947,0.005244012389778285,0.006570012973338146
knee_outer,54.28835233189814,0.005219523401514159,0.00928176848130674,0.011639163292781474
knee_outer,72.21281575281994,0.009225770824827506,0.016427978611760596,0.020626565124159946
knee_outer,96.0554250582169,0.016326810113471923,0.029099475554526577,0.03656871971543385
knee_outer,127.77018299212939,0.028913555024815074,0.05160074666099196,0.06486229551391931
knee_outer,169.95624819678739,0.05112540929818665,0.09122437871256173,0.11510076255559243
knee_outer,226.07094726402102,0.09025206053621138,0.16170088337909982,0.2043290196790366
knee_outer,300.7131172822503,0.16036022203129785,0.28673044097228795,0.36517735906789994
knee_outer,400.0,0.2844227628481826,0.5086121072288421,0.6537415265016833
ankle_inner,1.0,7.649386304965644e-07,1.2894300490400197e-06,1.6158704699877069e-06
ankle_inner,1.330171439194516,1.3534200312441055e-06,2.281347104946159e-06,2.8591804505737756e-06
ankle_inner,1.7693560576488099,2.3946141821992034e-06,4.03624756479138e-06,5.059214725235822e-06
ankle_inner,2.3535468936502526,4.236757467583792e-06,7.1409289864763845e-06,8.952273621975343e-06
ankle_inner,3.130620858738539,7.496054000529807e-06,1.26333632030802e-05,1.5841457598635145e-05
ankle_inner,4.164262453240614,1.3262198349415014e-05,2.2349428671380143e-05,2.8033175860329995e-05
ankle_inner,5.539182980610754,2.346743505231806e-05,3.953921132876688e-05,4.9610078049683315e-05
ankle_inner,7.368062997280774,4.15304107085554e-05,6.997215799709605e-05,8.780004074122882e-05
ankle_inner,9.800786961168827,7.348689540376957e-05,0.00012383676396890073,0.00015540167788306858
ankle_inner,13.036726897376788,0.00013002345557904665,0.00021918453035426125,0.0002750836739146556
ankle_inner,17.341081779469537,0.00023007830410332053,0.00038782924946505204,0.00048701007671328456
ankle_inner,23.066611707786787,0.000407096126722184,0.0006861373203464957,0.0008623751613875408
ankle_inner,30.682548092687835,0.000720576706838616,0.00121464143326986,0.001527452861930123
