case_id,side,actual_dm,pred_dm,abs_err_deg,alpha_gt
68_0,left,-0.7963241358793081,-0.7896820197054052,0.7963241358793081,3.8380961527542743
68_0,right,-0.0549262249115845,-0.05501826905831606,-0.0549262249115845,7.2857965989463045
8_0,left,0.8919418599266944,0.8827982834922681,-0.8919418599266944,11.875787828702727
8_0,right,-0.7307384436137134,-0.7299987043104862,-0.7307384436137134,11.9305617013612
43_0,left,-1.099346912966241,-1.0953015545476008,-1.099346912966241,5.074139451396872
43_0,right,0.39158212578786866,0.39062990306706113,-0.39158212578786866,0.9806164148683169
27_0,left,0.5729090337544189,0.574179888816726,-0.5729090337544189,13.385224601691027
27_0,right,-0.03272561452554079,-0.033426940209382014,-0.03272561452554079,11.255763378448988
45_0,left,0.10387417301915391,0.10629044501967334,-0.10387417301915391,10.676177758284268
45_0,right,-0.8252383645182815,-0.8254481736921295,-0.8252383645182815,4.487535410332823
29_0,left,0.009291534327990902,0.006362895498171955,0.009291534327990902,2.7383067675312662
29_0,right,-0.5139212024383637,-0.5073728458402555,-0.5139212024383637,6.768223037578897
37_0,left,-0.3917600016844611,-0.39178964907310554,0.3917600016844611,1.8527022965390123
37_0,right,-0.2493987568735534,-0.24943167251792286,-0.2493987568735534,2.8004993540623166
65_0,left,0.9280308457067945,0.9281425255535195,-0.9280308457067945,4.3995098803284645
65_0,right,-1.1557395518049383,-1.158482843622269,-1.1557395518049383,10.437673565866373
25_0,left,0.4093343946981456,0.41091264389684046,-0.4093343946981456,16.673570506270032
25_0,right,0.24259623923779472,0.24453703365745097,0.24259623923779472,3.564593942614491
55_0,left,0.3570468904670463,0.3585595027361632,-0.3570468904670463,11.087624241270968
55_0,right,-1.4505096721495114,-1.4481457562637288,-1.4505096721495114,14.809083809236157
5_0,left,-0.04126407034735191,-0.041630404945612695,0.04126407034735191,6.326226568174468
5_0,right,-0.5126039679062551,-0.5138963166822443,-0.5126039679062551,9.362306005425898
53_0,left,-0.42896661804130876,-0.42843194873314006,0.42896661804130876,2.3287409754447097
53_0,right,-0.31360043090664114,-0.3124243020749118,-0.31360043090664114,6.805670533292687
72_0,left,0.7791381077067276,0.7741710780230164,-0.7791381077067276,5.589459171215461
72_0,right,-0.35770785370209124,-0.35277557900856427,-0.35770785370209124,3.900025173077589
14_0,left,-0.12510902232861687,-0.12471123517055378,-0.12510902232861687,0.6443422253984976
14_0,right,-0.6903275822228014,-0.6925591725805917,0.6903275822228014,1.1806799162555828
56_0,left,0.18105287066605663,0.17997132943323962,-0.18105287066605663,0.4566892793750851
56_0,right,-0.11517797320694045,-0.11518882098069555,0.11517797320694045,3.057650004281137
52_0,left,0.21072646202727796,0.213680370869023,-0.21072646202727796,10.739554204946927
52_0,right,0.3482483198345019,0.35325700838014645,0.3482483198345019,12.491284261100766
22_0,left,-0.594603520766972,-0.5956570222428019,0.594603520766972,11.294967766566621
22_0,right,-0.8648870806065858,-0.8714273948159234,-0.8648870806065858,18.413223661351406
4_0,left,-0.8911003760273681,-0.8924664409939462,0.8911003760273681,3.1307320479540657
4_0,right,-0.2241604263058865,-0.22369665154732227,-0.2241604263058865,2.6540761853455628
51_0,left,-0.56752315418181,-0.575282503276687,0.56752315418181,11.046231548055568
51_0,right,0.8395295730944596,0.8445327627256454,0.8395295730944596,13.389926729646705
17_0,left,0.20372711180372693,0.20392645237043913,-0.20372711180372693,4.14467199423715
17_0,right,-0.27058907302443824,-0.2727153960761993,-0.27058907302443824,4.953904223104386
24_0,left,0.517290276995249,0.5188305556609463,-0.517290276995249,6.330724574305267
24_0,right,0.14055809444860223,0.14139486642145793,0.14055809444860223,5.111289594016012
38_0,left,0.2806093521899049,0.28099592279353935,-0.2806093521899049,8.244554976910628
38_0,right,-0.032282744670635743,-0.032420626729754765,-0.032282744670635743,5.715741242489184
33_0,left,-0.3264608725746705,-0.32710570611819745,0.3264608725746705,1.5444942646517692
33_0,right,0.1898399241634694,0.1892771252158082,0.1898399241634694,1.6218632140427307
7_0,left,0.2323706935410983,0.23332890232439382,-0.2323706935410983,1.6999068908596957
7_0,right,-0.1776931726129789,-0.1793489279799565,0.1776931726129789,1.2170744011178245
18_0,left,-0.045568362546152485,-0.04733734741215154,0.045568362546152485,8.616523810839166
18_0,right,0.2959057952915005,0.29695924211107066,0.2959057952915005,5.221467375044614
13_0,left,0.2859578042833635,0.2826154744486839,-0.2859578042833635,1.525362522947463
13_0,right,0.22043284902117488,0.22024494092635147,0.22043284902117488,3.0790505092030984
59_0,left,-0.47258984885337063,-0.4693107159971286,-0.47258984885337063,2.0561659272163944
59_0,right,0.37086065756027237,0.37254691945090346,-0.37086065756027237,0.7887425477643656
