case_id,side,hemisphere,landmark,alpha_deg,alpha_signed_deg,Jx,Jy,J_norm,J_share
63_0,left,14,ankle_outer,7.006894964352403,-7.006894964352403,-0.012393726692545442,0.0014091731757255891,0.012473581296832835,0.13249333679890143
63_0,right,15,femur_head,2.696916594962629,-2.696916594962629,-0.019970419400144754,-0.0013142911126957345,0.020013620665601438,0.2143261362555862
63_0,right,15,knee_inner,2.696916594962629,-2.696916594962629,0.017204070486155597,0.0011322324528638286,0.017241287411905414,0.18463718168782006
63_0,right,15,ost_point,2.696916594962629,-2.696916594962629,0.00024009407639044925,-0.001213558307663183,0.0012370808104631287,0.013247915245950512
63_0,right,15,knee_outer,2.696916594962629,-2.696916594962629,0.028673450810259328,0.001887054088106381,0.028735479019842358,0.3077286361463668
63_0,right,15,ankle_inner,2.696916594962629,-2.696916594962629,-0.01307359798633031,-0.0002457185603056461,0.013075906925298092,0.14003006533213827
63_0,right,15,ankle_outer,2.696916594962629,-2.696916594962629,-0.01307359798633031,-0.0002457185603056461,0.013075906925298092,0.14003006533213827
30_0,left,16,femur_head,7.3678039692899056,-7.3678039692899056,-0.0195458404131512,0.00018510182748779035,0.019546716863527592,0.21819846164878712
30_0,left,16,knee_inner,7.3678039692899056,-7.3678039692899056,0.0163068089560216,-0.00015442774904797426,0.01630754016575959,0.18203978715648042
30_0,left,16,ost_point,7.3678039692899056,-7.3678039692899056,-0.0006900938495015829,-0.0029988381040463364,0.0030772161925025905,0.034350722121404276
30_0,left,16,knee_outer,7.3678039692899056,-7.3678039692899056,0.027178014926702673,-0.00025737958174662376,0.027179233609599323,0.30339964526080077
30_0,left,16,ankle_inner,7.3678039692899056,-7.3678039692899056,-0.011624444810035746,0.001612771803676572,0.011735789280329686,0.13100569190626365
30_0,left,16,ankle_outer,7.3678039692899056,-7.3678039692899056,-0.011624444810035746,0.001612771803676572,0.011735789280329686,0.13100569190626365
30_0,right,17,femur_head,7.986763271207537,7.986763271207537,-0.019437301145143193,9.834304644445094e-05,0.019437549926926718,0.21631803478281952
30_0,right,17,knee_inner,7.986763271207537,7.986763271207537,0.016318662179474846,-8.256428918005415e-05,0.016318871045193983,0.18161065194129428
30_0,right,17,ost_point,7.986763271207537,7.986763271207537,-0.000739977001276218,0.0032687482164088263,0.003351459512614411,0.03729796904179902
30_0,right,17,knee_outer,7.986763271207537,7.986763271207537,0.027197770299124745,-0.00013760714863342356,0.02719811840865664,0.30268441990215716
30_0,right,17,ankle_inner,7.986763271207537,7.986763271207537,-0.01166957716609009,-0.0015734599125198998,0.011775177592360905,0.13104446216596496
30_0,right,17,ankle_outer,7.986763271207537,7.986763271207537,-0.01166957716609009,-0.0015734599125198998,0.011775177592360905,0.13104446216596496
32_0,left,18,femur_head,10.55316720684807,-10.55316720684807,-0.018074386647277136,-0.0007135706831933109,0.01808846692771897,0.21773270332739755
32_0,left,18,knee_inner,10.55316720684807,-10.55316720684807,0.014929411239747881,0.0005894081158004699,0.014941041526362272,0.17984682588420997
32_0,left,18,ost_point,10.55316720684807,-10.55316720684807,-0.0007935239476707864,-0.0039015450140619046,0.003981423583629144,0.047924797796246754
32_0,left,18,knee_outer,10.55316720684807,-10.55316720684807,0.024882352066246467,0.0009823468596674501,0.024901735877270452,0.2997447098070166
32_0,left,18,ankle_inner,10.55316720684807,-10.55316720684807,-0.010471926355523213,0.0015216803608936477,0.010581906856338847,0.12737548159256457
32_0,left,18,ankle_outer,10.55316720684807,-10.55316720684807,-0.010471926355523213,0.0015216803608936477,0.010581906856338847,0.12737548159256457
32_0,right,19,femur_head,9.339190422800327,9.339190422800327,-0.017932695449105345,-0.00014917297795508447,0.017933315885460658,0.21920130803780255
32_0,right,19,knee_inner,9.339190422800327,9.339190422800327,0.014802203118484417,0.00012313200353773472,0.014802715245898808,0.18093555955498583
32_0,right,19,ost_point,9.339190422800327,9.339190422800327,-0.0009456976279359312,0.003376127198843668,0.0035060774187481427,0.04285525115265953
32_0,right,19,knee_outer,9.339190422800327,9.339190422800327,0.024670338530807363,0.00020522000589622455,0.024671192076498018,0.30155926592497645
32_0,right,19,ankle_inner,9.339190422800327,9.339190422800327,-0.010297074286125252,-0.0017776531151612715,0.010449391822102588,0.12772430766478785
32_0,right,19,ankle_outer,9.339190422800327,9.339190422800327,-0.010297074286125252,-0.0017776531151612715,0.010449391822102588,0.12772430766478785
20_0,left,20,femur_head,7.533154004502577,-7.533154004502577,-0.01848014841811965,0.0013557476102533858,0.018529812118271406,0.21169176431153425
20_0,left,20,knee_inner,7.533154004502577,-7.533154004502577,0.01592074392388201,-0.0011679836135458578,0.015963529459719666,0.18237355534948937
20_0,left,20,ost_point,7.533154004502577,-7.533154004502577,-0.0012226269371312139,-0.0029542468212814597,0.003197247395565514,0.03652659496964512
20_0,left,20,knee_outer,7.533154004502577,-7.533154004502577,0.026534573206470017,-0.001946639355909763,0.026605882432866105,0.30395592558248224
20_0,left,20,ankle_inner,7.533154004502577,-7.533154004502577,-0.011376270887550582,0.0023565610902418475,0.011617784620097446,0.1327260798934245
20_0,left,20,ankle_outer,7.533154004502577,-7.533154004502577,-0.011376270887550582,0.0023565610902418475,0.011617784620097446,0.1327260798934245
20_0,right,21,femur_head,11.635063027723099,11.635063027723099,-0.017691985484820566,0.0022386269948954287,0.01783305361449284,0.20971212847379223
20_0,right,21,knee_inner,11.635063027723099,11.635063027723099,0.015038972808333217,-0.0019029322928802131,0.015158886978966241,0.17826461594155157
20_0,right,21,ost_point,11.635063027723099,11.635063027723099,-0.00024345977786391013,0.004538800069383487,0.004545324931539338,0.05345185331711442
20_0,right,21,knee_outer,11.635063027723099,11.635063027723099,0.025064954680555362,-0.003171553821467022,0.0252648116316104,0.2971076932359193
20_0,right,21,ankle_inner,11.635063027723099,11.635063027723099,-0.011084241113102052,-0.0008514704749658401,0.011116897185056646,0.13073185451581118
20_0,right,21,ankle_outer,11.635063027723099,11.635063027723099,-0.011084241113102052,-0.0008514704749658401,0.011116897185056646,0.13073185451581118
34_0,left,22,femur_head,9.629366608854484,-9.629366608854484,-0.01780160209546018,-0.0002668487985498935,0.01780360203572243,0.2161793826080405
34_0,left,22,knee_inner,9.629366608854484,-9.629366608854484,0.0148718290936228,0.00022293104320563725,0.01487349988536492,0.18060075798074185
34_0,left,22,ost_point,9.629366608854484,-9.629366608854484,-0.0008748844807134129,-0.003554877210524768,0.0036609527225165764,0.044452942596834695
34_0,left,22,knee_outer,9.629366608854484,-9.629366608854484,0.02478638182270467,0.0003715517386760621,0.024789166475608203,0.30100126330123644
34_0,left,22,ankle_inner,9.629366608854484,-9.629366608854484,-0.010490862170076939,0.001613621613596481,0.010614234017743208,0.1288828267565732
34_0,left,22,ankle_outer,9.629366608854484,-9.629366608854484,-0.010490862170076939,0.001613621613596481,0.010614234017743208,0.1288828267565732
34_0,right,23,femur_head,9.682012974950668,9.682012974950668,-0.01789404300339039,0.0003665694593481466,0.0178977972995481,0.2157270301553962
34_0,right,23,knee_inner,9.682012974950668,9.682012974950668,0.014977128995317633,-0.0003068148476764481,0.014980271302387646,0.1805612939346336
34_0,right,23,ost_point,9.682012974950668,9.682012974950668,-0.0008709214606049676,0.0036081714684045533,0.0037117927657603625,0.044739250115989684
34_0,right,23,knee_outer,9.682012974950668,9.682012974950668,0.02496188165886272,-0.000511358079460747,0.024967118837312743,0.300935489891056
34_0,right,23,ankle_inner,9.682012974950668,9.682012974950668,-0.010587023095092497,-0.0015782840003077524,0.010704019731000563,0.12901846795146227
34_0,right,23,ankle_outer,9.682012974950668,9.682012974950668,-0.010587023095092497,-0.0015782840003077524,0.010704019731000563,0.12901846795146227
31_0,left,24,femur_head,7.564960330674568,-7.564960330674568,-0.01956548475689321,-5.940815601714736e-05,0.019565574949416176,0.22018983352879723
31_0,left,24,knee_inner,7.564960330674568,-7.564960330674568,0.016175827100655363,4.911588299715233e-05,0.016175901667612198,0.18204264912112914
